tweet_text,username,mentions,date,image,link,quote,reply
#RejectedFortniteSkins,🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,,2019-09-18 07:25:00,True,https://web.archive.org/web/20190918161745/https://twitter.com/nekrovevo/status/1174328628730978304,False,False
you guys are madbecause h o e s m a d,🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,,2019-09-18 08:50:00,False,https://web.archive.org/web/20190918161826/https://twitter.com/nekrovevo/status/1174349989243305985,False,False
it be like that sometimes,🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,FerdyDrolfVent,2019-09-18 08:56:00,False,https://web.archive.org/web/20190918162351/https://twitter.com/nekrovevo/status/1174351534651404290,False,True
S T I C K,🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,LevelFoxx,2019-09-18 08:47:00,False,https://web.archive.org/web/20190918162516/https://twitter.com/nekrovevo/status/1174349130115584000,False,True
twitter i have a confession to make...your mom is the big homosexuali apologize for this but it had to come out. :/,🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,,2019-09-18 08:57:00,False,https://web.archive.org/web/20190918162719/https://twitter.com/nekrovevo/status/1174351845638066176,False,False
hah u cant even text nerd,🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,VadermCat,2019-09-18 07:23:00,False,https://web.archive.org/web/20190918170303/https://twitter.com/nekrovevo/status/1174328126819561472,False,True
22,🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,TheShamrockFox,2019-09-18 07:10:00,False,https://web.archive.org/web/20190918171038/https://twitter.com/nekrovevo/status/1174324939404398592,False,True
12 more till the big boy 600:),🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,,2019-09-18 10:00:00,False,https://web.archive.org/web/20190918171058/https://twitter.com/nekrovevo/status/1174367592644919296,False,False
hoe,🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,HyenaVibes,2019-09-18 10:01:00,False,https://web.archive.org/web/20190918172604/https://twitter.com/nekrovevo/status/1174367935344730112,False,True
"well here it is, lets get this bread@FoxWithGuitar",🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,,2019-09-18 10:07:00,True,https://web.archive.org/web/20190918173130/https://twitter.com/nekrovevo/status/1174369447231967232,False,False
